Secondary_School_URN,Secondary_School_Name,Total_SecSchool_Pupils,Secondary2LSOA_Flow_No.,LSOA_CODE,LSOA_NAME,Pupil_count
100049,Haverstock School,1013,Sec2LSOA_Flow1,E01000905,Camden 012D,75
100049,Haverstock School,1013,Sec2LSOA_Flow2,E01000904,Camden 012C,58
100049,Haverstock School,1013,Sec2LSOA_Flow3,E01000901,Camden 007D,57
100049,Haverstock School,1013,Sec2LSOA_Flow4,E01000902,Camden 012B,40
100049,Haverstock School,1013,Sec2LSOA_Flow5,E01000900,Camden 012A,36
100049,Haverstock School,1013,Sec2LSOA_Flow6,E01000891,Camden 007C,29
100049,Haverstock School,1013,Sec2LSOA_Flow7,E01000950,Camden 023D,24
100049,Haverstock School,1013,Sec2LSOA_Flow8,E01000958,Camden 019D,24
100049,Haverstock School,1013,Sec2LSOA_Flow9,E01000856,Camden 019A,22
100049,Haverstock School,1013,Sec2LSOA_Flow10,E01000858,Camden 018B,22
100049,Haverstock School,1013,Sec2LSOA_Flow11,E01000890,Camden 007B,21
100049,Haverstock School,1013,Sec2LSOA_Flow12,E01000959,Camden 019E,19
100049,Haverstock School,1013,Sec2LSOA_Flow13,E01000944,Camden 023A,18
100049,Haverstock School,1013,Sec2LSOA_Flow14,E01000954,Camden 022C,18
100049,Haverstock School,1013,Sec2LSOA_Flow15,E01000951,Camden 023E,16
100049,Haverstock School,1013,Sec2LSOA_Flow16,E01000922,Camden 007E,16
100049,Haverstock School,1013,Sec2LSOA_Flow17,E01000846,Camden 014C,15
100049,Haverstock School,1013,Sec2LSOA_Flow18,E01000868,Camden 015D,15
100049,Haverstock School,1013,Sec2LSOA_Flow19,E01000889,Camden 007A,15
100049,Haverstock School,1013,Sec2LSOA_Flow20,E01000952,Camden 022A,15
100049,Haverstock School,1013,Sec2LSOA_Flow21,E01000892,Camden 006D,14
100049,Haverstock School,1013,Sec2LSOA_Flow22,E01000903,Camden 006E,14
100049,Haverstock School,1013,Sec2LSOA_Flow23,E01000957,Camden 019C,11
100049,Haverstock School,1013,Sec2LSOA_Flow24,E01000949,Camden 023C,11
100049,Haverstock School,1013,Sec2LSOA_Flow25,E01000945,Camden 023B,11
100049,Haverstock School,1013,Sec2LSOA_Flow26,E01000955,Camden 022D,10
100049,Haverstock School,1013,Sec2LSOA_Flow27,E01000867,Camden 015C,10
100049,Haverstock School,1013,Sec2LSOA_Flow28,E01000866,Camden 009A,10
100049,Haverstock School,1013,Sec2LSOA_Flow29,E01000857,Camden 018A,10
100049,Haverstock School,1013,Sec2LSOA_Flow30,E01000861,Camden 019B,9
100049,Haverstock School,1013,Sec2LSOA_Flow31,E01000925,Camden 009D,9
100049,Haverstock School,1013,Sec2LSOA_Flow32,E01000931,Camden 013C,9
100049,Haverstock School,1013,Sec2LSOA_Flow33,E01000965,Camden 016C,8
100049,Haverstock School,1013,Sec2LSOA_Flow34,E01000956,Camden 022E,8
100049,Haverstock School,1013,Sec2LSOA_Flow35,E01000847,Camden 014D,8
100049,Haverstock School,1013,Sec2LSOA_Flow36,E01000888,Camden 006C,7
100049,Haverstock School,1013,Sec2LSOA_Flow37,E01000927,Camden 007F,7
100049,Haverstock School,1013,Sec2LSOA_Flow38,E01000948,Camden 021D,7
100049,Haverstock School,1013,Sec2LSOA_Flow39,E01000973,Camden 010E,7
100049,Haverstock School,1013,Sec2LSOA_Flow40,E01000870,Camden 009B,6
100049,Haverstock School,1013,Sec2LSOA_Flow41,E01000939,Camden 024C,6
100049,Haverstock School,1013,Sec2LSOA_Flow42,E01000947,Camden 021C,6
100049,Haverstock School,1013,Sec2LSOA_Flow43,E01000961,Camden 017B,6
100049,Haverstock School,1013,Sec2LSOA_Flow44,E01000886,Camden 006A,5
100049,Haverstock School,1013,Sec2LSOA_Flow45,E01000887,Camden 006B,5
100049,Haverstock School,1013,Sec2LSOA_Flow46,E01000898,Camden 008E,5
100049,Haverstock School,1013,Sec2LSOA_Flow47,E01000906,Camden 012E,5
100049,Haverstock School,1013,Sec2LSOA_Flow48,E01000972,Camden 010D,5
100049,Haverstock School,1013,Sec2LSOA_Flow49,E01002766,Islington 015E,5
100049,Haverstock School,1013,Sec2LSOA_Flow50,E01000863,Camden 021A,4
