LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,6.2,29199,9,0.0,32831,10,0.0,32742,10,0.0,32842,10,-1.7,32113,10,-2.0,32662,10,29.5,7319,3,31.9,7789,3
E01000002,City of London 001B,E09000001,City of London,5.1,30379,10,0.0,29901,10,0.0,31190,10,0.1,32832,10,-1.1,29705,10,-2.3,32789,10,24.4,11707,4,23.1,13070,4
E01000003,City of London 001C,E09000001,City of London,19.4,14915,5,0.1,18510,6,0.1,15103,5,5.8,26386,9,-0.1,17600,6,-1.0,29363,9,40.1,2157,1,40.5,4092,2
E01000005,City of London 001E,E09000001,City of London,28.7,8678,3,0.2,6029,2,0.1,7833,3,22.3,12370,4,-0.1,17907,6,-1.3,31059,10,39.9,2217,1,29.0,9397,3
E01032739,City of London 001F,E09000001,City of London,13.6,20391,7,0.0,32638,10,0.0,32727,10,1.8,31135,10,-0.7,25654,8,-1.6,31947,10,46.3,837,1,49.2,2040,1
E01032740,City of London 001G,E09000001,City of London,15.8,18089,6,0.0,31774,10,0.0,29443,9,2.3,30578,10,-0.4,21520,7,-1.7,32292,10,37.4,3054,1,68.6,130,1
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.8,14486,5,0.1,14023,5,0.1,21692,7,14.8,17511,6,-0.4,21581,7,-0.1,18848,6,45.2,1033,1,26.9,10629,4
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.6,7256,3,0.2,6261,2,0.1,11487,4,11.4,20536,7,0.0,16414,5,0.8,4925,2,50.4,274,1,26.0,11162,4
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.6,5010,2,0.3,3382,2,0.2,6431,2,25.5,10569,4,0.3,12334,4,0.4,11113,4,45.4,981,1,30.2,8672,3
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.8,6736,3,0.2,7506,3,0.1,11132,4,15.7,16819,6,0.5,9661,3,0.9,4431,2,48.1,554,1,28.6,9611,3
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.4,6900,3,0.2,8902,3,0.1,17988,6,11.8,20182,7,0.0,16050,5,1.2,2164,1,50.6,259,1,47.9,2269,1
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.7,7698,3,0.2,9033,3,0.1,16108,5,22.5,12224,4,-0.1,18178,6,0.5,8727,3,52.9,110,1,39.9,4309,2
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.7,5990,2,0.2,4570,2,0.1,13201,5,19.8,13896,5,-0.1,16887,6,0.5,8515,3,56.5,39,1,36.9,5437,2
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,39.0,4573,2,0.2,5966,2,0.1,7013,3,24.0,11346,4,0.7,7172,3,1.2,2236,1,45.3,1018,1,30.4,8569,3
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.7,5650,2,0.2,6627,3,0.1,7932,3,31.5,7994,3,0.4,10972,4,0.8,5163,2,46.1,872,1,25.1,11704,4
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.6,6405,2,0.2,5755,2,0.1,9271,3,26.0,10318,4,0.0,15626,5,0.4,10845,4,50.4,278,1,25.7,11351,4
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.8,6739,3,0.2,6711,3,0.1,9461,3,29.0,8971,3,0.4,10676,4,0.5,8699,3,43.8,1273,1,25.0,11815,4
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.0,4570,2,0.3,4033,2,0.2,5016,2,22.9,11972,4,0.7,6950,3,0.3,11685,4,45.9,902,1,27.7,10141,4
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.4,6504,2,0.2,5998,2,0.1,7832,3,26.4,10125,4,0.3,12006,4,0.5,9663,3,43.5,1323,1,25.7,11373,4
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.6,6410,2,0.2,7049,3,0.1,7641,3,26.1,10264,4,0.5,9374,3,0.6,7142,3,41.2,1855,1,26.8,10667,4
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.0,5520,2,0.2,5760,2,0.1,8401,3,24.2,11245,4,0.8,6282,2,0.7,7066,3,43.5,1319,1,30.1,8756,3
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.9,4611,2,0.2,5007,2,0.1,7865,3,31.6,7939,3,0.4,10085,4,0.6,8283,3,45.5,961,1,44.2,3095,1
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.4,6098,2,0.2,6941,3,0.1,7576,3,27.1,9771,3,0.4,9980,4,0.5,9002,3,44.3,1191,1,30.4,8559,3
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.9,5243,2,0.2,5088,2,0.1,11325,4,23.0,11907,4,0.0,15505,5,1.3,1812,1,45.8,912,1,40.0,4268,2
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.3,8333,3,0.2,10056,4,0.1,12570,4,29.3,8860,3,0.3,12148,4,0.2,12816,4,45.7,940,1,29.9,8892,3
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.7,5303,2,0.2,5570,2,0.1,7683,3,25.7,10465,4,0.4,10405,4,0.8,5042,2,47.0,707,1,28.0,9925,4
