LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Income Domain numerator,Income Deprivation Affecting Children Index (IDACI) numerator,Income Deprivation Affecting Older People Index (IDAOPI) numerator,Employment Domain numerator,Staying on in education post 16 indicator,Entry to higher education indicator,Adult skills and English language proficiency indicator,Years of potential life lost indicator,Comparative illness and disability ratio indicator,Acute morbidity indicator,Mood and anxiety disorders indicator,Road distance to a post office indicator (km),Road distance to a primary school indicator (km),Road distance to general store or supermarket indicator (km),Road distance to a GP surgery indicator (km),Household overcrowding indicator,Homelessness indicator (rate per 1000 households),Owner-occupation affordability (component of housing affordability indicator),Private rental affordability (component of housing affordability indicator),Housing affordability indicator,Housing in poor condition indicator,Houses without central heating indicator,Road traffic accidents indicator,Nitrogen dioxide (component of air quality indicator),Benzene (component of air quality indicator),Sulphur dioxide (component of air quality indicator),Particulates (component of air quality indicator),Air quality indicator
E01000001,City of London 001A,E09000001,City of London,,,,,0.13,0.731,0.032,70.3,37.013,61.703,-0.904,0.946,0.715,0.233,0.795,0.262,4.681,0.919,0.559,1.923,0.226,0.014,0.577,1.12,0.15,0.05,0.5,1.82
E01000002,City of London 001B,E09000001,City of London,40,,10,15,0.279,0.791,0.034,69.045,45.529,77.276,-0.819,0.502,0.359,0.216,0.952,0.224,4.681,0.919,0.473,1.586,0.142,0.02,0.459,1.12,0.15,0.05,0.5,1.82
E01000003,City of London 001C,E09000001,City of London,115,,55,70,0.201,0.834,0.142,82.254,82.682,83.626,0.041,0.783,0.421,0.237,1.02,0.448,4.681,0.922,0.774,3.063,0.147,0.029,1.11,1.1,0.15,0.05,0.51,1.81
E01000005,City of London 001E,E09000001,City of London,235,50,65,95,0.272,0.92,0.321,67.035,111.052,91.626,-0.635,0.727,0.49,0.171,0.432,0.439,4.681,0.926,0.797,3.383,0.116,0.022,0.721,1.11,0.15,0.05,0.51,1.81
E01032739,City of London 001F,E09000001,City of London,10,,,,0.17,0.825,0.045,96.742,43.826,87.151,-0.922,1.168,1.421,0.576,1.206,0.323,4.681,0.919,0.692,2.449,0.145,0.079,0.76,1.12,0.15,0.05,0.5,1.82
E01032740,City of London 001G,E09000001,City of London,20,,,25,0.235,0.756,0.051,120.966,53.317,84.384,-1.048,0.713,1.155,0.141,0.882,0.434,4.681,0.92,0.66,2.34,0.173,0.107,0.838,1.16,0.15,0.07,0.51,1.88
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,235,75,35,75,0.1,0.885,0.325,59.895,98.903,109.109,-1.77,0.931,0.567,0.558,0.454,0.193,8.749,0.95,0.782,3.515,0.146,0.037,0.65,0.71,0.16,0.04,0.52,1.43
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,435,145,40,150,0.113,0.872,0.251,66.861,116.859,112.366,-1.443,0.6,0.503,0.262,0.519,0.485,8.749,0.922,0.786,3.183,0.125,0.03,0.874,0.71,0.16,0.04,0.52,1.43
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,420,160,35,145,0.291,0.841,0.384,73.391,152.609,130.272,-1.988,1.224,0.487,0.377,0.482,0.311,8.749,0.92,0.763,2.932,0.099,0.028,1.089,0.83,0.16,0.04,0.54,1.57
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,330,65,90,135,0.235,0.853,0.277,65.316,146.486,167.357,-1.578,0.435,0.692,0.166,0.304,0.319,8.749,0.954,0.838,4.768,0.135,0.033,0.911,0.71,0.16,0.04,0.52,1.43
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,535,185,80,160,0.116,0.836,0.228,61.894,123.892,137.883,-2.004,0.655,0.525,0.141,0.561,0.562,8.749,0.918,0.795,3.17,0.243,0.042,0.831,0.71,0.16,0.04,0.52,1.43
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,275,75,70,85,0.16,0.846,0.334,52.273,111.479,138.311,-1.489,0.914,0.998,0.277,0.573,0.363,8.749,0.952,0.83,4.264,0.226,0.033,0.779,0.71,0.16,0.04,0.52,1.43
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,485,200,40,120,0.196,0.881,0.283,54.43,116.42,134.251,-1.347,1.26,0.694,0.438,0.621,0.372,8.749,0.955,0.837,4.814,0.139,0.063,0.689,0.83,0.16,0.04,0.54,1.57
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,370,105,75,150,0.101,0.889,0.41,68.82,140.865,177.337,-1.032,0.955,0.434,0.293,0.554,0.18,8.749,0.954,0.837,4.616,0.189,0.03,0.798,0.55,0.16,0.04,0.5,1.26
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,335,80,65,140,0.234,0.929,0.438,66.74,152.315,121.249,-0.784,1.081,0.423,0.478,0.553,0.17,8.749,0.954,0.831,4.483,0.166,0.023,0.851,0.55,0.16,0.04,0.5,1.26
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,515,180,70,175,0.206,0.906,0.391,62.399,138.467,120.239,-1.652,1.009,0.54,0.389,0.415,0.297,8.749,0.954,0.839,4.861,0.193,0.024,0.688,0.54,0.16,0.04,0.5,1.23
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,350,115,60,125,0.16,0.895,0.448,66.194,144.516,140.7,-1.177,0.726,0.323,0.485,0.695,0.141,8.749,0.954,0.832,4.538,0.169,0.027,0.737,0.54,0.16,0.04,0.5,1.23
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,380,130,65,150,0.154,0.864,0.403,68.07,175.336,156.155,-0.893,0.909,0.498,0.357,0.384,0.182,8.749,0.954,0.838,4.865,0.198,0.025,0.692,0.55,0.17,0.04,0.51,1.27
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,380,135,50,150,0.204,0.895,0.419,60.782,143.07,140.861,-1.193,0.897,0.24,0.501,0.453,0.155,8.749,0.954,0.834,4.642,0.19,0.023,0.736,0.54,0.16,0.04,0.5,1.23
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,290,80,60,120,0.129,0.887,0.41,64.83,143.709,145.993,-0.726,0.57,0.327,0.353,0.577,0.124,8.749,0.953,0.829,4.352,0.172,0.026,0.805,0.56,0.17,0.04,0.51,1.28
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,420,110,95,150,0.201,0.886,0.391,67.7,154.659,169.912,-0.554,0.71,0.462,0.235,0.597,0.174,8.749,0.954,0.827,4.363,0.202,0.026,0.756,0.56,0.17,0.04,0.51,1.28
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,390,130,70,140,0.197,0.897,0.401,68.741,148.478,139.116,-1.173,0.462,0.392,0.189,0.533,0.221,8.749,0.954,0.838,4.874,0.173,0.073,0.9,0.57,0.15,0.03,0.49,1.24
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,270,95,35,110,0.314,0.88,0.401,70.685,141.817,136.427,-1.055,0.692,0.619,0.318,0.597,0.157,8.749,0.954,0.827,4.351,0.213,0.026,0.721,0.56,0.17,0.04,0.51,1.28
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,640,275,60,195,0.211,0.884,0.343,58.201,127.122,123.121,-1.154,0.783,0.745,0.189,0.513,0.267,8.749,0.953,0.791,3.731,0.257,0.033,0.708,0.58,0.15,0.04,0.5,1.27
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,235,70,50,85,0.262,0.886,0.395,64.577,126.097,130.25,-0.826,0.748,0.482,0.5,0.521,0.182,8.749,0.954,0.83,4.428,0.213,0.025,0.705,0.57,0.17,0.04,0.51,1.29
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,360,110,65,140,0.155,0.854,0.424,60.132,145.219,142.937,-0.657,0.821,0.563,0.536,0.488,0.181,8.749,0.954,0.832,4.602,0.188,0.026,0.759,0.58,0.15,0.04,0.5,1.27
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,405,140,65,155,0.205,0.911,0.44,57.913,132.413,129.465,-0.932,0.629,0.473,0.594,0.683,0.135,8.749,0.954,0.834,4.562,0.137,0.033,0.835,0.45,0.09,0.02,0.45,1.02
